graph,ID,omega,integrated_populations,int_pop_t_normalized,integrated_coherences,int_coh_normalized,final_sink_pop,time,Full,Arrival,t2_population,,simulation_time
isomorphic_graphs/6.mtx,6,0.03,26.2155634344867,0.013107781717243,18.5097018285375,0.009254850914269,1.00000000000001,575.5615234375,T,1.00000000000001,2000,,
isomorphic_graphs/14.mtx,14,0.03,17.3995942127157,0.008699797106358,18.2151290701718,0.009107564535086,1.00000000000001,531.1279296875,T,1.00000000000001,2000,,
isomorphic_graphs/16.mtx,16,0.03,12.1381139422648,0.006069056971132,12.9119585261322,0.006455979263066,1.00000000000001,437.3779296875,T,1.00000000000001,2000,,
isomorphic_graphs/20.mtx,20,0.03,30.7514800654649,0.015375740032733,21.822568158011,0.010911284079006,1.00000000000001,733.88671875,T,1.00000000000001,2000,,
isomorphic_graphs/18.mtx,18,0.03,15.3573826838509,0.007678691341925,16.7400322479685,0.008370016123984,1.00000000000003,370.2392578125,T,1.00000000000003,2000,,
isomorphic_graphs/15.mtx,15,0.04,13.8418753826976,0.006920937691349,13.4991557342258,0.006749577867113,0.999999999999984,373.4130859375,T,0.999999999999984,2000,,
isomorphic_graphs/14.mtx,14,0.04,16.0761442320653,0.008038072116033,15.20771365378,0.00760385682689,0.999999999999985,448.3642578125,T,0.999999999999985,2000,,
isomorphic_graphs/22.mtx,22,0.04,28.5481073671281,0.014274053683564,18.3867132847669,0.009193356642383,0.999999999999989,624.51171875,T,0.999999999999989,2000,,
isomorphic_graphs/12.mtx,12,0.04,10.1101265767202,0.00505506328836,10.4725937595453,0.005236296879773,0.999999999999993,236.4501953125,T,0.999999999999993,2000,,
isomorphic_graphs/28.mtx,28,0.04,27.4983713925854,0.013749185696293,17.8379347723065,0.008918967386153,0.999999999999993,746.09375,T,0.999999999999993,2000,,
isomorphic_graphs/11.mtx,11,0.04,21.8364674577459,0.010918233728873,17.9513533232239,0.008975676661612,0.999999999999994,527.9541015625,T,0.999999999999994,2000,,
isomorphic_graphs/23.mtx,23,0.04,30.0060094985034,0.015003004749252,16.810893835662,0.008405446917831,0.999999999999994,710.205078125,T,0.999999999999994,2000,,
isomorphic_graphs/24.mtx,24,0.04,25.7533618011366,0.012876680900568,15.9409665575905,0.007970483278795,0.999999999999994,604.8583984375,T,0.999999999999994,2000,,
isomorphic_graphs/5.mtx,5,0.04,11.9579707573865,0.005978985378693,12.6179090601176,0.006308954530059,0.999999999999995,356.8115234375,T,0.999999999999995,2000,,
isomorphic_graphs/16.mtx,16,0.04,11.3715631921995,0.0056857815961,10.668711655702,0.005334355827851,0.999999999999995,367.0654296875,T,0.999999999999995,2000,,
isomorphic_graphs/30.mtx,30,0.04,24.2039803443039,0.012101990172152,17.4125483288053,0.008706274164403,0.999999999999995,612.548828125,T,0.999999999999995,2000,,
